"""","和歌山県_合計_実　　数","和歌山県_合計_前年(同月･期)比","和歌山県_国_実数","和歌山県_国_前年(同月･期)比","和歌山県_県_実数","和歌山県_県_前年(同月･期)比"
"平成21年1月","4322.0","-10.03330557868442","332.0","-74.24359968968193","1963.0","-4.383828543594731"
"平成21年2月","5030.0","-55.145354021758514","2146.0","-52.31111111111112","1192.0","43.78769601930037"
"平成21年3月","15851.0","40.547969498137974","10417.0","204.67973091547236","3169.0","-4.834834834834837"
"平成21年4月","11867.0","58.18448413756332","695.0","-25.026968716289105","6281.0","165.469146238377"
"平成21年5月","10536.0","84.97191011235955","918.0","1107.8947368421052","2629.0","-26.317264573991025"
"平成21年6月","13700.0","-3.7380550871276057","941.0","128.9537712895377","6743.0","36.33238980994744"
"平成21年7月","11192.0","-4.578395430130442","1404.0","-50.99476439790576","5219.0","164.1194331983806"
"平成21年8月","9490.0","19.49131201208762","1593.0","-18.683001531393572","3761.0","88.90005022601707"
"平成21年9月","16923.0","19.453659913884366","2767.0","34.25521591460458","8442.0","11.02051551814833"
"平成21年10月","11429.0","-7.435004454523366","3347.0","8.352217546131428","3176.0","-28.22598870056497"
"平成21年11月","9095.0","34.80065214169261","1276.0","-8.922198429693069","4156.0","55.13251213139233"
"平成21年12月","12351.0","1.295825473632405","1978.0","63.60628618693133","4490.0","21.05688864923161"
"平成22年1月","5358.0","23.970384081443783","637.0","91.86746987951807","2272.0","15.741212429954146"
"平成22年2月","5176.0","2.9025844930417435","1267.0","-40.95992544268407","1544.0","29.530201342281885"
"平成22年3月","17567.0","10.825815405968072","4614.0","-55.70701737544398","3695.0","16.598295992426642"
"平成22年4月","14798.0","24.69874441729165","1629.0","134.3884892086331","6131.0","-2.3881547524279654"
"平成22年5月","5618.0","-46.67805618830676","1306.0","42.26579520697166","1485.0","-43.51464435146444"
"平成22年6月","9607.0","-29.87591240875912","1045.0","11.052072263549405","3655.0","-45.79563992288299"
"平成22年7月","12613.0","12.69656897784131","1931.0","37.53561253561253","5483.0","5.058440314236435"
"平成22年8月","11271.0","18.767123287671225","2048.0","28.562460765850602","4524.0","20.28715767083223"
"平成22年9月","14539.0","-14.087336760621639","2316.0","-16.299241055294544","8764.0","3.814262023217239"
"平成22年10月","11058.0","-3.246128270189857","2283.0","-31.789662384224684","3670.0","15.554156171284632"
"平成22年11月","8530.0","-6.212204507971407","1418.0","11.12852664576802","3869.0","-6.905678537054854"
"平成22年12月","8820.0","-28.58877823658004","1091.0","-44.843276036400404","3409.0","-24.075723830734958"
"平成23年1月","5625.0","4.9832026875699995","289.0","-54.631083202511775","2788.0","22.711267605633793"
"平成23年2月","6392.0","23.493044822256564","1168.0","-7.813733228097874","3312.0","114.50777202072538"
"平成23年3月","18941.0","7.821483463311878","8650.0","87.47290853922846","3725.0","0.8119079837618557"
"平成23年4月","6990.0","-52.76388701175835","486.0","-70.1657458563536","3537.0","-42.309574294568584"
"平成23年5月","8442.0","50.26699893200427","2017.0","54.44104134762634","2285.0","53.87205387205387"
"平成23年6月","14581.0","51.77474757988966","3455.0","230.62200956937795","3647.0","-0.21887824897400776"
"平成23年7月","11290.0","-10.489177832395143","1715.0","-11.185914034179177","5657.0","3.17344519423672"
"平成23年8月","12517.0","11.05491970543872","2923.0","42.724609375","4914.0","8.620689655172413"
"平成23年9月","13602.0","-6.444734851090175","2623.0","13.255613126079453","7548.0","-13.874942948425371"
"平成23年10月","7996.0","-27.69035992041961","1676.0","-26.587823039859842","3291.0","-10.326975476839237"
"平成23年11月","9814.0","15.05275498241501","1184.0","-16.502115655853316","4903.0","26.725252003101588"
